HitId,Text,Decision1,Decision2,Decision1_HitId,Decision2_HitId,Referring_Story_Id,Referring_Decision
39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed.,You go fight the bandits.,You sneak into the camp and steal things.,,,3ZG552ORAM4Z0XS00X2Y0D7G48OV2U,2
3126F2F5F83EQT7K75O0WMRNFNLEP2,You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home.,You kill the soldiers one by one and enter home to collect your stuff.,You turn back without getting your stuff.,,,3WRBLBQ2GR89MQZRWFZYHOBRKVH0GR,1
38DCH97KHH271LURLJEGT7UPPR3JQJ,"You find a woman in the forest that lives in a house deep in the forest. She is strange and mysterious, but very beautiful.",You go knock the door on the house.,You wait for the woman to come outside and capture her.,,,3WRBLBQ2GR89MQZRWFZYHOBRKVH0GR,2
31ANT7FQN82MHTG3DRNSJJJJG3CH5Z,You charge at the officer and knock him down with the rod. You grab his sword and rush screaming at the soldiers. They give way and you escape unharmed. You keep running and come to a huge river. You look back and see the soldiers following you. You have 2 choices.,You swim across the river and escape.,You turn and fight.,,,388CL5C1RJN0JIJO5E3Z08FG2T5HLG,1
3MD8CKRQZZN7DM9RYY3GYX4ULD5JRK,"You are taken aback at first, admit your defeat tell officer you want to meet monarchy and you want to prove your loyalty to the monarchy, by giving away the identities of the insurgents.",You attack officer when he is not paying attention,You run away from officer when he takes you to monarchy,,,388CL5C1RJN0JIJO5E3Z08FG2T5HLG,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
