Referring_Story_Id,Referring_Decision,Story
3J94SKDEKIP55DB1RV42SY4LOCTD5Y,You climb the tree and sit still there without even breathe,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed. But you go too noisy - one bandit hear the noise and try to find what\'s wrong. He find out that some things are lost. So - there should be somebody. They start to look for you. You climb the tree and sit still there without even breathe"
3J94SKDEKIP55DB1RV42SY4LOCTD5Y,You are running as quickly as you can and pray,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed. But you go too noisy - one bandit hear the noise and try to find what\'s wrong. He find out that some things are lost. So - there should be somebody. They start to look for you. You are running as quickly as you can and pray"
37OPIVELUU3JNZSK8NE9RUZ58INAHA,You move closer and try to understand whats being said,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You notice that the monarchy lives up to its reputation, the house is in shambles, shattered glass and flipped furniture are scattered all over the room. The monarchy men tried to their best of ability to search the house and locate some clue on the insurgents ids. Luckily their ability is known to be notoriously limited, decades of widespread nepotism tend to have that effect on loyalists. The insurgent ids must still be in attic, safe inside the hidden safebox. As you start making your way towards the ladder, you overhear whispers that appear to be coming from the attic. You move closer and try to understand whats being said"
37OPIVELUU3JNZSK8NE9RUZ58INAHA,You go back downstairs and look for a weapon,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You notice that the monarchy lives up to its reputation, the house is in shambles, shattered glass and flipped furniture are scattered all over the room. The monarchy men tried to their best of ability to search the house and locate some clue on the insurgents ids. Luckily their ability is known to be notoriously limited, decades of widespread nepotism tend to have that effect on loyalists. The insurgent ids must still be in attic, safe inside the hidden safebox. As you start making your way towards the ladder, you overhear whispers that appear to be coming from the attic. You go back downstairs and look for a weapon"
3BS6ERDL9371OHBFWEE7K4ILK74D6E,You are continue to fight with the rebels,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You can\'t get home and there is the only way - to go to the main part of rebels and try to stay alive till victory. You can inform the rebels about main monarchy forces. You are continue to fight with the rebels"
3BS6ERDL9371OHBFWEE7K4ILK74D6E,You find a small settlement to hide till the end,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You can\'t get home and there is the only way - to go to the main part of rebels and try to stay alive till victory. You can inform the rebels about main monarchy forces. You find a small settlement to hide till the end"
3AXFSPQOYQYAAW4I733MH8QBIQ4FJX,You knock the door,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You find a woman in the forest that lives in a house deep in the forest. She is strange and mysterious, but very beautiful. and she did not open the door but you knock again then finally she opens the door and you talk to her You knock the door"
3AXFSPQOYQYAAW4I733MH8QBIQ4FJX,You leave it,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You find a woman in the forest that lives in a house deep in the forest. She is strange and mysterious, but very beautiful. and she did not open the door but you knock again then finally she opens the door and you talk to her You leave it"
39O0SQZVJN7ETR8PXPEJV7ZLUJF7RD,You she refuses to cooperate with you,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You find a woman in the forest that lives in a house deep in the forest. She is strange and mysterious, but very beautiful. You offer her a campaign against sadists to save her villagers. You tell her your plan. And they will escape from the forest tonight to reach the barracks. You she refuses to cooperate with you"
39O0SQZVJN7ETR8PXPEJV7ZLUJF7RD,You she agrees with you to do it,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You find a woman in the forest that lives in a house deep in the forest. She is strange and mysterious, but very beautiful. You offer her a campaign against sadists to save her villagers. You tell her your plan. And they will escape from the forest tonight to reach the barracks. You she agrees with you to do it"
39KV3A5D187QU682CEEOLH4HGLY7S1,You attack the soldiers,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario. You charge at the officer and knock him down with the rod. You grab his sword and rush screaming at the soldiers. They give way and you escape unharmed. You keep running and come to a huge river. You look back and see the soldiers following you. You have 2 choices. You swim over the river and escape from the soldiers following you and run as much as you can and hide inside the jungle You attack the soldiers"
39KV3A5D187QU682CEEOLH4HGLY7S1,You run away,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario. You charge at the officer and knock him down with the rod. You grab his sword and rush screaming at the soldiers. They give way and you escape unharmed. You keep running and come to a huge river. You look back and see the soldiers following you. You have 2 choices. You swim over the river and escape from the soldiers following you and run as much as you can and hide inside the jungle You run away"
3O2Y2UIUCQU5LGA0PO3YINQOXF4FKW,You attack the soldiers,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario. You charge at the officer and knock him down with the rod. You grab his sword and rush screaming at the soldiers. They give way and you escape unharmed. You keep running and come to a huge river. You look back and see the soldiers following you. You have 2 choices. you turn back and fight with soldiers as much you can and kill all the soldiers and run away from the scene and hide somewhere You attack the soldiers"
3O2Y2UIUCQU5LGA0PO3YINQOXF4FKW,You run away,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario. You charge at the officer and knock him down with the rod. You grab his sword and rush screaming at the soldiers. They give way and you escape unharmed. You keep running and come to a huge river. You look back and see the soldiers following you. You have 2 choices. you turn back and fight with soldiers as much you can and kill all the soldiers and run away from the scene and hide somewhere You run away"
3BO3NEOQM0HJJU34E5WUR60K8V2AI3,You take down the monarchy,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario. You are taken aback at first, admit your defeat tell officer you want to meet monarchy and you want to prove your loyalty to the monarchy, by giving away the identities of the insurgents. You take down he officer  by striking him. You then take the officer\'s weapons and clothing from him. Leaving him unarmed. You take down the monarchy"
3BO3NEOQM0HJJU34E5WUR60K8V2AI3,You get out an leave the officer unarmed,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario. You are taken aback at first, admit your defeat tell officer you want to meet monarchy and you want to prove your loyalty to the monarchy, by giving away the identities of the insurgents. You take down he officer  by striking him. You then take the officer\'s weapons and clothing from him. Leaving him unarmed. You get out an leave the officer unarmed"
